Title,ID,Year,Election_Type,Pct_Yes,Summary
"Providing for the Conservation of the State's Wildlife Resources, Limiting the Use of Game and Fish Revenues for Such Purposes, and Establishing a Game and Fish Commission",Amendment 3,1940,General,41.9,"Summary not available.
[CA]"
Regulation of Commercial Hog Facilities,Amendment 14,1998,General,64.2,"A proposed amendment to the Colorado Revised Statutes to further regulate the construction and operation of large, commercial hog facilities and the disposal of manure and wastewater from these facilities to minimize odor and water pollution; further restrict how manure and wastewater are applied to crops or land; require commercial hog facilities to obtain state permits for discharge of wastewater and provide funding for enforcement of permit conditions; require the state to regulate odor from hog facilities; prevent new waste application sites and waste storage tanks from being less than one mile from neighboring towns, homes, and schools, unless consent is given by nearby property owners and local governments; and allow local governments to impose regulations for hog facilities that are tougher than those contained in this proposal.
[S]"
Restoration of Grey Wolves,Proposition 114,2020,General,51,Reintroduces gray wolves on public lands.
Uniform Regulation of Livestock Operations,Amendment 13,1998,General,38.7,"An amendment to the Colorado Constitution to require uniform laws for regulating all livestock operations that have similar potential impacts on air and water quality; define ""livestock"" as any animals raised or kept for profit; allow the legislature to make certain exceptions to the uniform laws based on the size and type of feeding operation; and make unconstitutional any law or regulation that does not treat livestock operations uniformly.
[CA]"
Animal Cruelty Amendment:  Limiting Cruel and Inhumane Confinement of Pigs during Pregnancy,Constitutional Amendment 10,2002,General,55.0,"Inhumane treatment of animals is a concern of Florida citizens; to prevent cruelty to animals and as recommended by The Humane Society of the United States, no person shall confine a pig during pregnancy in a cage, crate or other enclosure, or tether a pregnant pig, on a farm so that the pig is prevented from turning around freely, except for veterinary purposes and during the prebirthing period; provides definitions, penalties, and an effective date."
Limiting Marine Net Fishing,Constitutional Amendment 3,1994,General,71.7,"Limits the use of nets for catching saltwater finfish, shellfish, or other marine animals by prohibiting the use of gill and other entangling nets in all Florida waters, and prohibiting the use of other nets larger than 500 square feet in mesh area in nearshore and inshore Florida waters. Provides definitions, administrative and criminal penalties, and exceptions for scientific and governmental purposes."
Idaho Fish and Game Commission Act,Initiative 1,1938,General,76.0,Not available.
Prohibit the use of dogs or bait for hunting bear,Proposition 2,1996,General,40.2,Initiative to prohibit the use of dogs or bait while hunting black bear and to limit the bear hunting season
An Act Prohibiting Certain Bear Hunting Practices,Question 2,2004,General,47,"(official ballot number and summary not yet available)

Do you want to make it a crime to hunt bears with bait, traps or dogs, except to protect property, public safety or for research?"
An Act to Allow Slot Machines at Commercial Horse Racing Tracks,Question 2,2003,General,52.9,"This initiated bill allows the operation of slot machines by certain persons who are licensed to operate a commercial track. A person under 21 years of age is prohibited from playing a slot machine.

The initiated bill provides for regulation of the operation of slot machines by the State Harness Racing Commission and the Executive Director of the State Harness Racing Commission within the Department of Agriculture, Food and Rural Resources.

Gross income from slot machines, which is income after payback to players, is divided as follows: 75% is retained by the person licensed to operate the slot machines; 10% must be sent to the State Controller to be credited directly to the Fund for a Healthy Maine with its use restricted to providing financial assistance with prescription drugs for adults who are elderly or disabled; 7% must be sent to the State Harness Racing Commission to be used to supplement harness racing purses; 3% must be forwarded to the Treasurer of State who shall credit the money to the Agricultural Fair Support Fund; 2% must be forwarded to the Finance Authority of Maine for application to its University of Maine System Scholarship Fund; 1% must be sent to the commission for application to administrative expenses, including expenditures by the commission for addiction counseling services; 1% must be sent to the board of trustees of the Maine Technical College System for application to its scholarship program and 1% must be sent to the commission for application to its Sire Stakes Fund."
"An Act To Prohibit the Use of Dogs, Bait or Traps When Hunting Bears Except under Certain Circumstances",Question 1,2014,General,46.4,"This initiated bill prohibits the use of dogs to hunt or pursue bear, the use of bait to hunt or attract bear and the setting of a trap to hunt or capture bear. The use of dogs, bait or a trap is permitted for certain scientific and research purposes or for state or federal employees when necessary to hunt or capture a specific offending bear that threatens livestock, domestic animals, threatened or endangered wildlife or public safety. Baiting is also permitted by owners or operators of commercial timberlands in order to prevent damage to commercial timberland."
An Act to Repeal the Law Providing an Open Season on Moose,1983-I 1,1983,General,39.5,"""Shall Maine Repeal the Hunting Season on Moose?""
NOTE:  Ballot number assigned by NCSL staff; actual ballot number unknown. Also unknown whether measure appeared on primary, general or special election ballot.
[S]"
An Act to Prevent Cruelty to Farm Animals,Question 3,2016,General,77.7,"Prevents animal cruelty by phasing out extreme methods of farm animal confinement, which also threaten the health and safety of Massachusetts consumers, increase the risk of foodborne illness, and have negative fiscal impacts on the Commonwealth of Massachusetts."
Dog Racing,Question 3,2008,General,56.2,"This proposed law would prohibit any dog racing or racing meeting in Massachusetts where any form of betting or wagering on the speed or ability of dogs occurs.

The State Racing Commission would be prohibited from accepting or approving any application or request for racing dates for dog racing.

Any person violating the proposed law could be required to pay a civil penalty of not less than $20,000 to the Commission.  The penalty would be used for the Commission's administrative purposes, subject to appropriation by the state Legislature.  All existing parts of the chapter of the state's General Laws concerning dog and horse racing meetings would be interpreted as if they did not refer to dogs.

These changes would take effect January 1, 2010.  The proposed law states that if any of its parts were declared invalid, the other parts would stay in effect.
[S]"
Dog Racing,Question 3,2000,General,49,"Initiative Statute.
Summary by Secretary of the Commonwealth, Elections Division:  This proposed law would prohibit in Massachusetts any dog racing or racing meeting where any form of betting or watering on the speed or ability of dogs occurs.  The State Racing Commission would be prohibited from accepting or approving any application or request for racing dates for dog racing.  Any person violating the proposed law could be required to pay a civil penalty of not less than $20,000 to the State Racing Commission.  The penalty would be used for the Commission's administrative purposes, subject to appropriation by the state Legislature.  All existing provisions of the part of the state's General Laws concerning dog and horse racing meetings would be interpreted as not applying to anything dog-related.  The proposed law would take effect on June 1, 2001.  The proposed law states that if any of its parts were declared invalid, the rest of the law would stay in effect
[S]"
Prohibits use of leghold traps and snares.  Prohibits use of dogs and bait in hunting bear or bobcats,Question 1,1996,General,64.3,"This proposed law would prohibit the use of certain traps for fur-bearing mammals, prohibit certain methods of hunting bear or bobcat, and eliminate some restrictions on who may serve on the state Fisheries and Wildlife Board.

The proposed law would prohibit the use, setting, manufacture, or possession of any trap to capture fur-bearing mammals, except common mouse and rat traps, nets, and box or cage traps that confine a whole animal without grasping any part of it.  Traps designed to grip an animal's body or body part, such as steel jaw leghold traps, padded leghold traps, and snares, would be prohibited.  Federal and state health officials could use such traps in case of a threat to human health or safety.  Where a property owner had reasonably tried but failed to correct an animal problem on the property using a legal trap, the owner could apply for and the state Director of Fisheries and Wildlife could issue a permit to use a prohibited type of trap, except a leghold trap, for up to 30 days to correct the problem.

A person violating any of these requirements could be punished by a fine of between $300 and $1,000, or imprisonment for up to 6 months, or both, for each prohibited trap and each day of violation.  A person convicted for a second violation would be required to surrender, and could never again obtain, any trapping license or problem animal control permit.

The proposed law would also prohibit the pursuit or hunting of bear or bobcat with the aid of a dog or dogs.  Hunting bear using any type of bait, lure, or attraction, or knowingly hunting bear in a baited area, would also be prohibited.  The Director could allow the use of dogs or bait in legitimate scientific research projects and in order to control particular animals that posed a threat to human safety or that destroyed livestock, property, or crops.

Violators could be punished by a fine of between $300 and $1,000, or imprisonment for up to 6 months, or both, for each violation.  A person convicted for a second violation would be required to surrender, and could never again obtain, any hunting and dog training licenses and permits.

The proposed law would eliminate the requirement that five members of the state Fisheries and Wildlife Board have held sporting licenses in the state for five consecutive years and that four members represent fishing, hunting, and trapping interests.

The proposed law states that if any ofits provisions were declared invalid, the other provisions would remain in effect.
[S]"
Regulate Treatment of Farm Animals,Question 3,1988,General,27.0,[S]
Regulation of trapping,Question 3,1930,General,49,"Summary not available.
[S]"
Limit the Bear Hunting Season and Prohibit the Use of Bait and Dogs to Hunt Bear,Proposal D,1996,General,38.6,"Proposal D would enact a statute prohibiting the use of bait or dogs to chase or hunt bears in Michigan.  It also would make it unlawful to take bear by any means from March 1 through August 31, and during deer, bobcat, or racoon season if baiting or hunting with dogs is permitted for those game species (Under present hunting restrictions, this would limit bear season to September 1 through September 30.).  People convicted of violating the law would forfeit their hunting license for three years for their first offense, and be permanently prohibited from obtaining a hunting license if convicted a second time.

Current Michigan Bear Management
According to the Michigan Department of Natural Resources (MDNR), there are an estimated 12,000 black bears in the state, with 1,522 harvested through hunting last year.  Sine 1990, the MDNR has managed the bear population through the establishment of harvest quotas for each of 10 bear management zones, and the issuance of licenses based on anticipated hunter ""success rates.""  In 1995, over 25,000 hunters applied for a bear license, and 5,600 licenses were issued via a lottery system.  Hunting season is limited to September 10 through October 26, and hunters are not allowed to shoot cubs, or sows with cubs.

In Michigan, 80% of bear hunters set out bait to attract bears, and 15% use dogs to track down and tree a bear.  Both of these methods have a 30% success rate.  The remaining 5% of bear hunters use stalking methods, with an estimated 3% to 5% success rate in Michigan.

Impact of Proposal D
Michigan bear hunters would be required to use stalking methods to harvest bear.  The MDNR would continue to monitor the bear population through management zones,b ut probably would increase the number of licenses issued to reflect the lower success rate.  (For example, if the desired harvest were 1,500 bears, the DNR would need to issue 30,000 to 50,000 licenses to reach that goal, assuming a 3% to 5% sucess rate.)  The MDNR also could expand the proposed bear hunting season by prohibiting bait or dogs during portions of deer, bobcat, or racoon season; increase harvest by allowing the taking of sows and cubs; or control the population through destruction of bears by agency employees and contractual bounty hunting.

Proponents of this proposal claim that the use of dogs for bear hunting increases trespass complaints on private property, and that the use of either bait or dogs to hunt bear is not ethical.  Opponents claim that the use of bait and/or dogs allows for more careful selection of the bear during the hunting process, and that the stalking method is not effective in Michigan's swampy bear habitat.

According to wildlife biologists, bear nuisance problems occur due to development pressure in bear habitats, homeowner practices, and the available natural food supply.  Opponents of the proposal claimt hat it will result in insufficient harvest of black bears, increase their population, and create more problems in this area.  Proponents point to other states that have increased nuisance problems in spite of increased bear harvests, and claim that the two issues are unrelated.

Other States
Of the 26 states with bear hunting, 10 allow the use of bait, 18 allow the use of dogs, and eight allow the use of both bait and dogs.  In Colorado (which banned the use of bait and dogs in 1992), the number of bear harvested has not changed significantly, but the number of bear hunters increased by 86%.  New York prohibited the use of dogs in 1990, but has limited data on its impact.  At present, this initiative is on the ballot in Oregon, Idaho, Washington, and Massachusetts.

Passage of Proposals D and G
Proposal D is on the ballot as a result of petition signatures collected by a Michigan citizen organization.  If a majority of the electors cast ""yes"" votes on Proposal D, it will be enacted into law.  If the law is enacted, it cannot be repealed or amended by the Legislature except with a three-fourths vote.

Proposal G is on the ballot as a result of Public Act 377 of 1996 (Senate Bill 1033), which provides that Public Act 377 cannot take effect unless it is approved by a majority of the electors.  If a majority of the electors cast ""yes"" votes on Proposal G, it will amend the Natural Resources and Environmental Protection Act.  It could be amended at any time by a majority vote of the Legislature.

In the event that both Proposal D and Proposal G are approved, the proposal with the higher number of votes will take precedence if there is a conflict between the language of the proposals.
[S]"
Creating a Conservation Commission,Unknown2,1936,General,71.4,"Summary not available.
[CA]"
Dog Breeders,Proposition B,2010,General,51.6,"Shall Missouri law be amended to:
- require large-scale dog breeding operations to provide each dog under their care with sufficient food, clean water, housing and space; necessary veterinary care;
- regular exercise and adequate rest between breeding cycles;
- prohibit any breeder from having more than 50 breeding dogs for the purpose of selling their puppies as pets; and
- create a misdemeanor crime of ""puppy mill cruelty"" for any violations?

Fair Ballot Language:
A ""yes"" vote will amend Missouri law to require large-scale dog breeding operations to provide each dog under their care with sufficient food, clean water, housing and space; necessary veterinary care; regular exercise and adequate rest between breeding cycles.  The amendment further prohibits any breeder from having more than 50 breeding dogs for the purpose of selling their puppies as pets.  The amendment also creates a misdemeanor crime of ""puppy mill cruelty"" for any violations.

A ""no"" vote will not change the current Missouri law regarding dog breeders.

If passed, this measure will have no impact on taxes."
Makes it a Class D felony to bait or fight animals,Proposition A,1998,General,62.6,"If adopted, Proposition A would change Missouri statutes to make cockfighting, bear wresting, and other kinds of animal fighting illegal and punishable under the laws of the State.  This proposed statute also makes attending or promoting animal fighting activities and manufacturing or possessing implements used in animal fighting illegal.  Certain exceptions for rodeos, hunting, and agriculture are included in the proposition.
[S]"
Pari-Mutuel Wagering on Horse Racing,ICA-1-1984,1984,General,60.0,"Authorizes pari-mutuel wagering on horse racing; creates special fund allocated to Commission, certain educational programs, horse research, and prizes.  Allows voters of each county to prohibit pari-mutuel wagering locally."
Repeal Wildlife and Forestry Code and All Laws Established by Conservation Commission; Enact Fish and Game Laws,Unknown3,1940,General,33.6,"Summary not available.
[CA]"
Change How Hunter Access Programs Are Funded,I-161,2010,General,53.8,"I-161 revises the laws related to nonresident big game and deer hunting licenses. It abolishes outfitter-sponsored nonresident big game and deer combination licenses, replacing the 5,500 outfitter-sponsored big game licenses with 5,500 additional general nonresident big game licenses. It also increases the nonresident big game combination license fee from $628 to $897 and the nonresident deer combination license fee from $328 to $527. It provides for future adjustments of these fees for inflation. The initiative allocates a share of the proceeds from these nonresident hunting license fees to provide hunting access and preserve and restore habitat.

I-161 increases state revenues over the next four years by an estimated $700,000 annually for hunting access and an estimated $1.5 million annually for habitat preservation and restoration, assuming that all nonresident hunting licenses are sold. It also increases general nonresident hunting license revenues by inflation."
Game Farm Reform,I-143,2000,General,51.4,"Initiative Statute
This initiative would amend state law to prohibit all new alternative livestock ranches, also known as game farms.  Existing game farms would be allowed to continue operating, but would be prohibited from transferring their license to any other party.  They would also be prohibited from allowing shooting of game farm animals for any type of fee.  The proposal also repeals provisions of the law concerning applications for expansion of game farms.  If approved by voters, the measure would take effect immediately.

This measure would eliminate $104,000 in annual costs of review of game farm applications and expansions, as well as $3,850 yearly revenues from application fees.  Abolishing fee shooting may force closure of some game farms, which could result in less revenue to the state and lower overall regulation costs.
[S]"
Initiative to Prohibit Trapping and Snaring of Animals,Initiative - 177,2016,General,37.2,"Prohibits the use of traps and snares for animals on any public lands within Montana and establishes misdemeanor criminal penalties for violations of the trapping prohibitions. I-177 allows the Montana Department of Fish, Wildlife, and Parks to use certain traps on public land when necessary if nonlethal methods have been tried and found ineffective. I-177 allows trapping by public employees and their agents to protect public health and safety, protect livestock and property, or conduct specified scientific and wildlife management activities."
Revising outfitter and hunting licensing,I-136,1998,General,44.0,"State law reserves approximately 7,800 outfitter-sponsored licenses for out-of-state hunters each year:  5,500 licenses entitle the nonresidents to fish and to hunt birds, deer and elk, while the remaining 2,300 exclude the elk tag.  Nonresident hunters are guaranteed this license if they agree to purchase it at market rate and use the services of a Montana-licensed outfitter.  This initiative would eliminate the requirement that the nonresident use an outfitter to obtain these licenses.  However, these licenses would still be set at the market rate.  This initiative would not affect other resident or nonresident hunting and fishing licenses.  The fiscal impacts are difficult to project.  Increasing the group of nonresident hunters eligible for the guaranteed license will increase demand, forcing an increase in price to stay within the statutory quotas.  Eliminating the ""outfitter set-aside"" will have a negative impact on the outfitting business in Montana.
[S]"
Bounties on Predatory Animals,Question 3,1934,General,68.4,[S]
Bounties on Predatory Animals,Question 2,1938,General,41.0,[S]
Authorize Betting on Horse and Dog Racing,Unknown1P,1964,Primary,35.5,"Summary not available.
[CA]"
Corporate Farming,Unknown2,1974,General,36.2,"Authorize small family-owned corporations to engage in farming. (S.L. 1975, ch. 601)
[S]"
Fee Killing of Certain Captive Game Animals Prohibited – Penalty – Exception.,Initiated Statutory Measure 2,2010,General,43.4,"Statutory Measure No. 2 was placed on the ballot by petitions circulated by a sponsoring committee. If approved, it would add a new section to chapter 36-01 of the North Dakota Century Code. The full text of the measure is as follows:

""SECTION 1. A new section to chapter 36-01 of the North Dakota Century Code is created and enacted as follows:

Fee killing of certain captive game animals prohibited – Penalty – Exception. A person is guilty of a class A misdemeanor if the person obtains fees or other remuneration from another person for the killing or attempted killing of privately-owned big game species or exotic mammals confined in or released from any manmade enclosure designed to prevent escape. This section does not apply to the actions of a government employee or agent to control an animal population, to prevent or control diseases, or when government action is otherwise required or authorized by law."
Prevention of Animal Cruelty,Initiated Statutory Measure 5,2012,General,34.6,"This initiated measure would create new section 36-­-21.1-­-02.1 to the North Dakota Century Code making it a class C felony for an individual to maliciously and intentionally harm a living dog, cat or horse and providing a court with certain sentencing options. The measure would not apply to production agriculture, or to lawful activities of hunters and trappers, licensed veterinarians, scientific researchers, or to individuals engaged in lawful defense of life or property."
Prohibit Farming by Corporations,Unknown2P,1932,Primary,57.1,"Summary not available.
[S]"
Relating to the Practices of Farming and Ranching,Initiated Constitutional Measure 3,2012,General,66.9,"The right of farmers and ranchers to engage in modern farming and ranching practices shall be forever guaranteed in this state. No law shall be enacted which abridges the right of farmers and ranchers to employ agricultural technology, modern livestock production and ranching practices."
Prohibit Use of Leghold Traps,Initiated Issue 2,1977,General,36.6,"Prohibits use of leghold traps or any trapping device causing prolonged suffering (Adopts Art. XIX)
[CA]"
Prohibition of the hunting of mourning doves,Issue 1,1998,General,40.5,"The proposed law would remove the words ""mourning doves"" from the definition of ""game birds;"" remove the sentence from the Ohio Revised Code which states:  ""The chief shall not establish a season for the hunting of mourning doves that opens prior to the fifteenth day of September of any year;"" and add the words ""NO PERSON SHALL HUNT OR TAKE A MOURNING DOVE.""
[S]"
Ban Cockfighting,State Question 687,2002,General,56,"This measure adds a new section to Title 21 of the Oklahoma Statutes.  The measure  makes cockfighting illegal.  It defines ""cockfight"" or ""cockfighting"" as:

1. A fight between birds.
2. Whether or not fitted with spurs, knives or gaffs.
3. Whether or not bets or wagers are made on the outcome of the fight.

The definition includes training fights.

The measure defines equipment used for training or handling a fighting bird.

Under the measure:
1. It is a felony to instigate or encourage cockfighting.
2. It is a felony to keep places, equipment or facilities for cockfighting.
3. It is a felony to aid or assist in cockfighting.
4. It is a felony to own, possess, keep or train birds for cockfighting.

Under the proposal it is a misdemeanor to knowingly be a spectator at a cockfight.

The measure provides for the forfeiture of birds and equipment use in cockfighting.
[S]"
Creating the Oklahoma Horse Racing Commission - Authorizing Pari-Mutuel Wagering,State Question 553,1982,Primary,58.1,"Election held on: 9/21/1982
[S]"
"Amends Constitution:  Dedicates Some Lottery Funding to Parks, Beaches; Habitat, Watershed Protection",Measure 66,1998,General,67.2,"Amends constitution.  State lottery proceeds currently limited to job creation, economic development, public education.  Measure dedicates 15 percent of net lottery proceeds to new fund for parks, beaches; salmon, wildlife habitat, watershed protection.  Dedicates half of fund to create, maintain state parks, ocean shores, public beach access areas, historic sites, recreation areas.  Dedicates other half for single agency to administer funds to protect native salmon, wildlife habitat, watersheds, using at least 65 percent for capital expenditures.  Requires biennial audits, voter renewal in 2014.  Other provisions.
[CA]"
"Bans Hunting Bears with Bait, Hunting Bears, Cougars with Dogs",Measure 18,1994,General,51.8,"Adopts new statute.  Bans using bait to attract or take black bears.  Bans using dogs to hunt or pursue black bears or cougars.  States two exceptions.  First, county,state, federal employees, agents may use bait or dogs while acting in official capacity.  Second, person may use bait or dogs when black bear or cougar is damaging person's land, livestock, or farm or forest crops.  Violation is Class A misdemeanor.  First offense also carries 5-year loss of hunting license.  Permanent loss oflicense for second offense.

Estimate of financial impact:
Direct reductions in state revenues from licenses, tags, and fees will be $100,000 annually.
[S]"
"Constitutional Amendment Prohibiting Lotteries, Bookmaking, Pari-mutuel Betting on Animal Racing",Measure 14,1952,General,35.8,"Not Available.
[S]"
Deschutes River Water and Fish Bill,Measure 5,1928,General,33.2,[S]
"Fish Wheel, Trap, Seine and Gillnet Bill",Measure 17,1926,General,58.3,[S]
Fishery Law Proposed by Fishwheel Operators,Measure 10,1908,General,53.4,[S]
"Forbids Use, Sale of Snare, Leghold Traps for Most Purposes",Measure 5,1980,General,36.9,"Not Available.
[S]"
McKenzie River Water and Fish Bill,Measure 8,1928,General,33.7,[S]
Prohibiting Certain Fishing in Coastal Streams,Measure 7,1956,General,60.8,"Not Available.
[S]"
Prohibiting Certain Fishing in Coastal Streams,Measure 7,1954,General,45.5,"Not Available.
[S]"
"Prohibiting Commercial Fishing for Salmon, Steelhead",Measure 4,1964,General,29.3,"Not Available.
[S]"
Prohibiting Salmon Fishing in Columbia River With Fixed Appliances,Measure 10,1948,General,59.6,"Not Available.
[S]"
Prohibiting Taking of Fish in Rogue River Except With Hook and Line,Measure 25,1910,General,59.8,[S]
"Prohibits commercial non-tribal fishing with gillnets in Oregon ""inland waters,""
allows use of seine nets",Measure 81,2012,General,34.4,"Current law allows commercial salmon fishing in Columbia River only with gillnets; requires recreational salmon fishers’ percentage share of overall salmon catch to be readjusted annually; allows issuing of gillnet permits within limit of 200; recognizes gillnet licenses as valid in Columbia River in both Oregon and Washington waters. Measure bans commercial gillnet fishing by non-tribal fishers in Oregon “inland waters” (defined); requires Oregon Fish and Wildlife Commission to permit use of “seine nets” (defined) instead; ensures that recreational salmon fishers’ percentage of overall salmon catch remains at 2007-2011 levels; prohibits purchase of salmon caught by gillnet by non-tribal fishers in Oregon inland waters; prohibits issuing of additional gillnet permits; repeals statute recognizing validity of gillnet licenses in Oregon and Washington waters. Other provisions.

Explanatory Statement

Current law allows commercial salmon fishing in the Columbia River only with gillnets and tangle nets. Ballot Measure 81 prohibits the non-tribal commercial use of gillnets and tangle nets to take salmon, steelhead and any other fish in Oregon inland waters, including the Columbia River.

The measure prohibits wholesalers, canners and buyers from buying or receiving salmon, steelhead or any other fish taken with a gillnet or tangle net by non-tribal commercial fishers in Oregon inland waters.

The measure invalidates all Oregon Columbia River commercial gillnet and tangle net permits, and requires the State Fish and Wildlife Commission to adopt rules that allow persons who currently hold the permits to obtain a permit to use seines or fixed fishing gear to take salmon from the Columbia River for commercial purposes.

The measure requires the Oregon Fish and Wildlife Commission to ensure: that the percentages of the total state, non-tribal Columbia River salmon harvest landed in recreational fisheries are not reduced below 2007 - 2011 averages; that permitted seines or fixed fishing gear minimize mortality to endangered salmon, steelhead and other nontarget species through sorting and live release.

The measure specifies that its provisions do not affect the Columbia River Compact or fishing management agreements between the United States, Indian tribes and states. The measure also specifies that its provisions do not affect any tribal fishing rights, or the use of gillnets or any other fishing gear pursuant to any tribal fishing rights.

The measure removes Oregon Columbia River commercial fishers from the Commercial Fishery Permit Board. Currently those fishers have three positions on the board."
Restricts Lower Columbia Fish Harvests to Most Selective Means Available,Measure 8,1992,General,41.0,"Not available.
[S]"
Rogue River Fishing Constitutional Amendment,Measure 11,1930,General,49.3,"Not available.
[CA]"
Rogue River Water and Fish Bill,Measure 6,1928,General,33.6,[S]
Save Endangered Animals,Measure 100,2016,General,69.4,"Prohibits purchase/sale of parts/products fro certain wildlife species; exceptions for specified activities, gift/ingeritances, and certain antiques/musical instruments; civil penalties"
Umpqua River Water and Fish Bill,Measure 7,1928,General,33.0,[S]
Wildlife Management Exclusive To Commission; Repeals 1994 Bear/Cougar Initiative,Measure 34,1996,General,42.8,"Current law gives the Oregon Fish and Wildlife Commission the authority to manage wildlife. Measure provides that this authority would be exclusive. Measure repeals all laws other than legislation and Commission rules enacted since 1975 that regulate time, place and manner of taking wildlife by angling, hunting or trapping, including the 1994 bear/cougar hunting ban initiative. That initiative banning use of bait or dogs to trap or hunt black bear and cougar was approved by vote of the people in the November, 1994 election.
[S]"
Ban on Corporate Hog Farms,Initiated Measure 3,1988,General,59.7,"Summary not available.
[S]"
Dove Bill,Initiated Measure 1,1972,General,33.3,"Summary not available.
[S]"
"County Option on Pari-mutuel Wagering, and State Promotion and Regulation of Horse Races",Initiative A,1992,General,39.7,"Shall a law be enacted to:

1. allow the voters of each county to authorize, by a simple majority vote, pari-mutuel wagering on horse races in their county;
2. create a Utah Horse Racing Commission to promote and regulate all horse racing in Utah and all pari-mutuel wagering in counties where wagering has been authorized by the voters;
3. specify the distribution of monies wagered; and
4. prohibit persons under 21 years of age from placing a wager?"
Animal Trapping,Initiative Measure 713,2000,General,54.6,"Initiative Statute
Explanatory Statement by Attorney General:  This measure would make it a gross misdemeanor to use or authorize the use of any steel-jawed leghold trap, neck snare, or other body-gripping trap to capture any mammal for recreation or commerce in fur. ""Body-gripping trap"" would mean a trap that grips an animal's body or body part, and would include, among others, steel-jawed leghold traps, padded-jaw leghold traps, Conibear traps, neck snares, and nonstrangling foot snares. Cage and box traps, suitcase-type live beaver traps, and common rat and mouse traps would not be considered ""body-gripping traps.""

It would be unlawful to buy, sell, barter, or otherwise exchange the raw fur of a mammal or a mammal that has been trapped in this state with a steel-jawed leghold trap or any other body-gripping trap. It would also be unlawful to use or authorize the use of body-gripping traps for any ""animal,"" which is defined as any nonhuman vertebrate.

For limited purposes, the director of fish and wildlife could grant special permits for the use of Conibear traps in water, padded leghold traps, and nonstrangling type foot snares. The director could permit these types of traps to be used to protect people from threats to their health and safety, or after making a written finding that an animal problem could not be abated by the use of nonlethal control tools. The director could also issue permits for the conduct of legitimate wildlife research. The director could authorize the use of certain traps by state employees or agents to protect threatened or endangered species, if that is the only practical means. Even with any of the above permits, the trapper could not lawfully sell the fur of the animal trapped.

The measure would also make it a gross misdemeanor to poison or attempt to poison any animal using sodium fluoroacetate (also known as Compound 1080) or using sodium cyanide.

Violations could result in criminal penalties in addition to revocation of trapping licenses. Persons with multiple convictions would be ineligible to receive any more trapping licenses."
Bear-Baiting,Initiative 655,1996,General,63.0,"Shall it be a gross misdemeanor to take, hunt, or attract black bears with bait, or to hunt bears, cougars, bobcat or lynx with dogs?"
Commercial Fishing Restrictions,Initiative 696,1999,General,39.5,"Explanatory Statement

The Law As It Presently Exists
Commercial fishing in Washington waters is regulated by a number of laws codified primarily in Title 75 of the Revised Code of Washington. There is no law generally prohibiting commercial fishing with nets or troll lines, but existing laws do specify whether and where certain types of gear can be used. For example, there are laws that prohibit salmon fishing with nets in the Pacific Ocean within three miles of shore; prohibit bottom trawling in much of Puget Sound; and allow salmon gill nets only in Puget Sound, Grays Harbor, Willapa Bay, and the lower Columbia River. Commercial net fishing in fresh water is prohibited, except in the Columbia River.

Annual commercial fishing licenses (net or troll) specify what species of fish may be taken, what type of fishing gear may be used, and in what geographic area the fishing may occur. Additional restrictions may be incorporated in specific licenses issued. The number of commercial licenses that are issued may be limited in accordance with a license limitation program.

Violations of the commercial fishing laws are Class C felonies, gross misdemeanors, or misdemeanors, depending on the nature of each violation.

As a matter of federal law, state licensing requirements and gear restrictions ordinarily do not apply to the exercise of treaty fishing rights.

The Effect of the Proposed Measure Should It Be Approved Into Law

This measure would prohibit commercial net fishing in fresh or marine waters within Washington state, except tribal fishing conducted under valid treaty rights. The measure would also prohibit nontribal commercial troll fishing in Washington state waters.

The following types of gear and licenses would be specifically prohibited: purse seine, gill net, baitfish purse seine, dogfish set net, food fish drag seine, food fish trawl (Puget Sound and non-Puget Sound), herring drag seine, herring gill net, baitfish lampara, herring purse seine, Columbia river smelt, smelt dip bag net, whiting (Puget sound), shrimp trawl (Puget Sound and non-Puget Sound), emerging commercial fishery licenses and spawn on kelp. The following types of gear and licenses would still be permitted: reef net, crab pots, shrimp pots, herring lampara, and herring dip bag net.

Engaging in fishing in violation of this measure would be a class C felony.

The measure would not apply to treaty fishing."
Creating Department of Game,Initiative 62,1932,General,53.8,"Summary not available.
[S]"
Fish and Wildlife Conservation,Initiative to the Legislature 90,1986,General,38.6,"Shall sales and use taxes be increased, 1/8th of 1%, to fund comprehensive fish and wildlife conservation and recreation programs?
[S]"
Fish Traps and Fishing Regulations,Initiative 77,1934,General,64.2,"Summary not available.
[S]"
Regulation of Commercial Salmon Fishing,Initiative 192,1954,General,29.9,"Summary not available.
[S]"
State Fishing Regulations,Initiative 640,1995,General,42.5,"Shall state fishing regulations ensure certain survival rates for non-targeted catch, and commercial and recreational fisheries be prioritized?"
Trafficking of animal species threatened with extinction,Initiative 1401,2015,General,71,"This measure would make selling, purchasing, trading, or distributing certain animal species threatened with extinction, and products containing such species, a gross misdemeanor or class-C felony, with exemptions for certain types of transfers."
